Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-10-01,IDFCFIRSTB,EQ,40.2,40.2,40.7,36.2,38.1,38.65,38.26,57435614,219729065619999.97,82106,21008100,0.3658
2019-10-03,IDFCFIRSTB,EQ,38.65,38.0,38.0,36.25,37.2,37.15,37.1,26646414,98869191260000.0,42706,10651885,0.3997
2019-10-04,IDFCFIRSTB,EQ,37.15,37.4,38.4,36.9,37.9,38.05,37.5,22670636,85005512825000.0,38617,8146674,0.3593
2019-10-07,IDFCFIRSTB,EQ,38.05,38.25,38.6,36.5,37.55,37.45,37.21,20846366,77563270375000.0,38831,8461759,0.40590000000000004
2019-10-09,IDFCFIRSTB,EQ,37.45,37.45,38.8,37.1,38.25,38.4,37.94,16641167,63144052725000.0,31452,5525999,0.3321
2019-10-10,IDFCFIRSTB,EQ,38.4,38.1,38.4,36.55,36.95,36.95,37.38,18558701,69365845345000.01,42012,7806932,0.4207
2019-10-11,IDFCFIRSTB,EQ,36.95,37.2,37.75,37.1,37.5,37.45,37.35,16696623,62357049440000.0,22471,6484227,0.3884
2019-10-14,IDFCFIRSTB,EQ,37.45,37.5,38.3,37.5,37.8,37.75,37.95,12529104,47542908300000.0,21357,4887446,0.3901
2019-10-15,IDFCFIRSTB,EQ,37.75,37.95,38.5,37.7,38.4,38.45,38.15,11399042,43488566795000.0,16902,4176397,0.3664
2019-10-16,IDFCFIRSTB,EQ,38.45,38.55,39.3,38.5,39.15,39.2,39.02,11809887,46078925225000.0,15694,4465721,0.37810000000000005
2019-10-17,IDFCFIRSTB,EQ,39.2,39.5,40.1,38.6,40.0,39.95,39.41,11887889,46851203465000.0,21932,3200886,0.2693
2019-10-18,IDFCFIRSTB,EQ,39.95,40.1,40.65,39.5,39.65,39.7,40.05,14532569,58197463715000.0,24102,5862155,0.40340000000000004
2019-10-22,IDFCFIRSTB,EQ,39.7,39.7,40.45,39.5,39.75,39.8,40.01,9561077,38256294110000.0,15552,3703922,0.3874
2019-10-23,IDFCFIRSTB,EQ,39.8,40.05,40.05,38.5,39.65,39.65,39.26,10752970,42221479340000.0,18383,3503697,0.3258
2019-10-24,IDFCFIRSTB,EQ,39.65,39.8,40.25,38.25,39.2,38.85,39.38,14853535,58494791004999.99,26115,4209464,0.2834
2019-10-25,IDFCFIRSTB,EQ,38.85,40.75,42.0,39.75,40.7,40.65,41.08,38015186,156155905150000.0,59669,7389552,0.19440000000000002
2019-10-27,IDFCFIRSTB,EQ,40.65,41.35,41.8,41.0,41.75,41.65,41.6,4720550,19639240925000.0,16854,2486636,0.5268
2019-10-29,IDFCFIRSTB,EQ,41.65,41.95,42.3,41.05,41.65,41.75,41.75,16268255,67926226210000.0,31020,5599751,0.3442
2019-10-30,IDFCFIRSTB,EQ,41.75,41.75,43.4,41.55,42.7,42.5,42.72,18853725,80538881125000.0,32152,7257290,0.3849
2019-10-31,IDFCFIRSTB,EQ,42.5,42.8,45.0,42.7,44.65,44.65,44.3,35685118,158079544850000.0,58351,18196622,0.5099
2019-11-01,IDFCFIRSTB,EQ,44.65,44.55,45.4,43.75,43.9,43.9,44.55,18990697,84607271270000.0,34071,7915886,0.4168
2019-11-04,IDFCFIRSTB,EQ,43.9,44.25,45.1,43.5,43.85,43.7,44.28,18678288,82709078715000.0,37445,6733934,0.3605
2019-11-05,IDFCFIRSTB,EQ,43.7,43.9,44.25,42.7,43.1,43.05,43.24,13910867,60156533470000.01,32046,4807382,0.3456
2019-11-06,IDFCFIRSTB,EQ,43.05,43.0,43.1,42.05,42.55,42.5,42.51,11827351,50283151350000.0,20708,3940401,0.3332
2019-11-07,IDFCFIRSTB,EQ,42.5,42.9,43.1,42.2,42.65,42.45,42.59,11324199,48232070390000.0,22178,3603185,0.3182
2019-11-08,IDFCFIRSTB,EQ,42.45,42.5,43.1,42.0,42.3,42.15,42.46,15191473,64502026235000.0,26274,4762653,0.3135
2019-11-11,IDFCFIRSTB,EQ,42.15,42.3,42.85,42.0,42.55,42.55,42.44,7469139,31700396795000.0,15185,2176947,0.2915
2019-11-13,IDFCFIRSTB,EQ,42.55,42.6,42.7,41.7,41.75,41.85,42.25,9870946,41700805730000.0,19702,3968152,0.402
2019-11-14,IDFCFIRSTB,EQ,41.85,41.0,41.95,40.9,41.8,41.7,41.45,11408938,47287839975000.0,23102,2416598,0.2118
2019-11-15,IDFCFIRSTB,EQ,41.7,41.95,42.5,41.65,42.3,42.25,42.12,10302094,43395932870000.0,15395,3268741,0.3173
2019-11-18,IDFCFIRSTB,EQ,42.25,42.05,43.25,42.05,42.5,42.5,42.71,10246687,43759653165000.0,17303,2409255,0.23510000000000003
2019-11-19,IDFCFIRSTB,EQ,42.5,42.75,43.05,42.4,42.8,42.8,42.76,9460952,40455284075000.0,15149,3118456,0.3296
2019-11-20,IDFCFIRSTB,EQ,42.8,42.75,43.7,42.75,43.15,43.15,43.39,19738032,85644729290000.0,21655,8979992,0.455
2019-11-21,IDFCFIRSTB,EQ,43.15,43.0,43.7,42.75,43.1,43.1,43.28,15294734,66198767829999.99,22454,5774817,0.3776
2019-11-22,IDFCFIRSTB,EQ,43.1,43.15,43.25,42.8,43.1,43.0,43.01,11842863,50941648020000.0,17095,5247356,0.44310000000000005
2019-11-25,IDFCFIRSTB,EQ,43.0,43.0,43.8,42.85,43.65,43.55,43.27,17306664,74892393600000.0,17777,8717203,0.5037
2019-11-26,IDFCFIRSTB,EQ,43.55,44.0,44.4,42.85,43.2,43.15,43.75,23324818,102052882580000.0,29901,9587182,0.41100000000000003
2019-11-27,IDFCFIRSTB,EQ,43.15,43.3,43.65,42.85,43.55,43.55,43.31,12798114,55424267590000.0,19038,5679482,0.44380000000000003
2019-11-28,IDFCFIRSTB,EQ,43.55,43.55,44.35,43.2,44.25,44.3,43.89,31160796,136754212025000.0,33650,15288875,0.49060000000000004
2019-11-29,IDFCFIRSTB,EQ,44.3,44.45,47.95,44.3,46.9,46.85,46.73,86065840,402171636830000.0,101402,30227918,0.35119999999999996
2019-12-02,IDFCFIRSTB,EQ,46.85,47.0,47.65,45.85,46.9,46.75,46.79,27994961,130988312840000.02,48265,7807300,0.27890000000000004
2019-12-03,IDFCFIRSTB,EQ,46.75,46.9,46.95,44.9,45.05,45.15,45.76,16039525,73397635345000.0,36936,4819754,0.3005
2019-12-04,IDFCFIRSTB,EQ,45.15,45.0,46.0,44.4,45.8,45.8,45.34,17143838,77730733125000.0,28769,3260500,0.1902
2019-12-05,IDFCFIRSTB,EQ,45.8,45.95,46.0,44.5,44.55,44.6,45.05,15869948,71497607635000.0,28313,4551932,0.2868
2019-12-06,IDFCFIRSTB,EQ,44.6,44.8,44.95,43.1,43.2,43.3,43.88,14650100,64277878270000.01,25159,5986465,0.4086
2019-12-09,IDFCFIRSTB,EQ,43.3,43.25,43.7,42.5,42.7,42.7,43.02,12969867,55799901150000.0,23363,4530931,0.3493
2019-12-10,IDFCFIRSTB,EQ,42.7,42.7,43.1,41.95,42.2,42.1,42.52,11188950,47570055555000.0,18868,3682083,0.32909999999999995
2019-12-11,IDFCFIRSTB,EQ,42.1,42.35,43.2,41.9,43.2,42.95,42.52,12490917,53111767755000.0,20475,3749438,0.3002
2019-12-12,IDFCFIRSTB,EQ,42.95,43.2,43.5,42.8,43.2,43.2,43.18,10496649,45323759370000.0,23799,4001201,0.3812
2019-12-13,IDFCFIRSTB,EQ,43.2,43.35,43.8,43.05,43.8,43.65,43.55,11531697,50219692310000.0,22041,4666228,0.4046
2019-12-16,IDFCFIRSTB,EQ,43.65,43.9,43.95,42.95,43.05,43.05,43.37,8722070,37826831375000.0,14095,3317751,0.3804
2019-12-17,IDFCFIRSTB,EQ,43.05,43.05,43.3,42.65,42.85,42.8,43.01,9651911,41516798630000.0,19829,4358848,0.4516
2019-12-18,IDFCFIRSTB,EQ,42.8,43.0,43.0,42.4,42.6,42.6,42.59,8297210,35340604330000.0,15997,3132187,0.3775
2019-12-19,IDFCFIRSTB,EQ,42.6,42.6,44.0,42.4,43.7,43.75,43.4,16270274,70609192350000.0,33041,5395762,0.33159999999999995
2019-12-20,IDFCFIRSTB,EQ,43.75,43.7,43.95,43.2,43.35,43.4,43.56,11046667,48119043440000.0,16491,3593203,0.32530000000000003
2019-12-23,IDFCFIRSTB,EQ,43.4,43.2,43.6,42.85,43.05,43.05,43.28,6476588,28030196905000.0,11799,2544289,0.39280000000000004
2019-12-24,IDFCFIRSTB,EQ,43.05,43.05,43.85,42.9,43.5,43.55,43.38,8913027,38660756730000.0,17343,2597071,0.2914
2019-12-26,IDFCFIRSTB,EQ,43.55,43.55,44.05,42.9,43.9,43.6,43.41,19163197,83188901995000.0,30422,9135867,0.4767
2019-12-27,IDFCFIRSTB,EQ,43.6,43.65,45.3,43.65,44.75,44.7,44.75,24065967,107706123000000.0,40106,10088142,0.4192
